42 1 8 1983 1 96 4 -4 -4 -4 -4 -4 322 -4 -4 24362 4866 -4 -4 -4 67 -4 -4 856 -4 1229 540 -4 -4 1799 1444 410 -4 1684 41 -4 -4 -4 -4 -4 -4 -4
43 2 10 1981 1 -4 1 -4 -4 -4 -5 -4 -4 -4 -4 17473 2797 -4 -4 -4 -4 -4 -4 1042 425 1124 514 -4 -4 2077 1349 232 714 1023 413 -4 -4 -4 -4 -4 -4 -4
44 1 12 1981 1 -4 2 -4 -4 -4 -4 -4 -4 -4 -4 13032 2805 -4 -4 62 -4 -4 -4 551 119 1149 1605 -4 -4 1925 1537 -4 1893 1996 1890 -4 -4 -4 -4 -4 -4 -4
45 2 2 1984 1 80 1 74 73 -4 78 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 67
46 1 2 1984 1 86 1 69 68 74 73 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
47 2 9 1982 1 82 1 -4 -4 -4 -4 -4 -4 -4 28 19743 9010 -4 -4 223 -4 -4 -4 905 654 680 -4 -4 -4 1321 1427 -4 704 1530 391 -4 -4 -4 -4 -4 -4 -4
48 2 7 1983 1 81 1 -4 -4 -4 -4 -4 -4 -4 439 12902 5462 -4 -4 54 -4 -4 -4 1176 557 374 -4 -4 -4 1158 1283 -4 342 830 332 -4 -4 -4 -4 -4 -4 -4
49 2 12 1982 1 111 1 -4 -4 -4 -4 -4 190 -4 949 29329 10794 -4 -4 966 -4 -4 432 903 -4 757 -4 -4 -4 1334 1591 -4 405 1562 -4 -4 -4 -4 -4 -4 -4 -4
50 2 2 1983 1 -4 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
51 1 6 1980 1 -4 1 -4 -4 -4 -4 -4 -4 581 312 24708 4752 -4 -4 457 61 -4 92 814 191 -4 -4 -4 -4 1275 1173 -4 -4 392 -4 -4 -4 -4 -4 -4 -4 -4
52 1 12 1983 1 86 1 -4 -4 -4 -4 -4 -4 -4 -4 15881 3483 -4 -4 -4 -4 -4 -4 903 799 947 954 -4 -4 1277 1524 570 620 1055 1593 -4 -4 -4 -4 -4 -4 -4
53 2 4 1984 1 87 1 86 102 86 85 -4 -4 -4 -4 18036 7025 -4 -4 -4 -4 -4 -4 753 412 909 544 -4 -4 1166 1392 750 149 981 332 -4 -4 -4 -4 -4 -4 -4
54 2 12 1984 1 -3 1 90 73 85 90 -4 140 -4 -4 12642 4249 -4 -4 -4 -4 -4 -4 1086 -4 1006 878 -4 -4 1896 1161 933 2028 1650 688 -4 -4 -4 -4 -4 -4 -4
55 2 2 1981 1 -4 2 -4 -4 -4 -4 -4 551 -4 -4 27373 4103 -4 -4 1365 -4 -4 57 694 -4 981 213 -4 -4 365 1235 -4 394 1428 -4 -4 -4 -4 -4 -4 -4 -4
56 2 2 1982 1 116 4 -4 -4 -4 -4 1553 1024 797 1214 22352 12385 -4 -4 1299 -4 426 1100 -4 -4 -4 -4 -4 -4 535 697 -4 240 -4 -4 -4 -4 -4 -4 -4 -4 -4
